depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap,filter_demand
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.88,Optimal,1.8601114749908447,7,102,2653.900235151578,1258.6160312518928,1.9746871578621843,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.89,Optimal,1.8680269718170166,7,102,2653.900235151578,1258.6160312518928,1.9746871578621843,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.9,Optimal,1.3018062114715576,7,102,2769.872458167741,1350.8636813768653,1.8572913475523378,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.91,Optimal,1.298367977142334,7,102,2769.872458167741,1350.8636813768653,1.8572913475523378,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.92,Optimal,60.01261234283447,8,102,2672.657734230877,1336.8269456824082,1.797236410262394,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.93,Optimal,60.23535132408142,8,102,2672.657734230877,1336.8269456824082,1.797236410262394,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.94,Optimal,1.5622618198394775,8,102,3320.8810184295307,1705.7951978835597,1.8452344954602506,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.95,Optimal,1.5648870468139648,8,102,3320.8810184295307,1705.7951978835597,1.8452344954602506,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.96,Optimal,2.243513584136963,9,102,3047.9589361718745,1555.565902690625,1.752297014654935,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.97,Optimal,2.244028091430664,9,102,3047.9589361718745,1555.565902690625,1.752297014654935,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.98,Optimal,1.3050861358642578,10,102,3244.372857613443,1642.0869432024076,1.7774384809259718,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.99,Optimal,1.291222333908081,10,102,3244.372857613443,1642.0869432024076,1.7774384809259718,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,1.0,Optimal,1.2895898818969727,10,102,3244.372857613443,1642.0869432024076,1.7774384809259718,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.01,Optimal,0.04532122611999512,1,18,40.13861229565572,0.0,0.8571428571428571,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.02,Optimal,0.04515886306762695,1,18,40.13861229565572,0.0,0.8571428571428571,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.03,Optimal,0.04642653465270996,1,18,53.21090476187533,0.0,3.6835443037974684,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.04,Optimal,0.04638981819152832,1,18,53.21090476187533,0.0,3.6835443037974684,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.05,Optimal,0.04637455940246582,1,18,243.05284169585957,93.0662248715903,3.2739726027397262,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,0.06,Optimal,0.04637551307678223,1,18,243.05284169585957,93.0662248715903,3.2739726027397262,0.0,true
